target,mae,rmse
FR_load_actual,2132.1803383113925,2836.9577359740174
FR_solar_actual,687.3225756712376,1131.6126366019012
FR_wind_actual,867.1446905410252,1259.908325883965
FR_price_actual,27.16193389892578,34.97726486758488
